Date,PETROBRAS,VALE,BRADESCO,RENTACAR,BRFOOD,BOVA
2020-01-02,30.700000762939453,54.33000183105469,28.18181800842285,49.619998931884766,35.880001068115234,114.23999786376953
2020-01-03,30.450000762939453,53.93000030517578,28.18181800842285,48.900001525878906,35.939998626708984,113.80000305175781
2020-01-06,30.809999465942383,53.61000061035156,27.678436279296875,48.33000183105469,35.56999969482422,112.58999633789062
2020-01-07,30.690000534057617,54.0,27.197595596313477,48.79999923706055,35.15999984741211,112.23999786376953
2020-01-08,30.5,54.0099983215332,26.776859283447266,48.560001373291016,36.5099983215332,111.94999694824219
2020-01-09,30.399999618530273,53.29999923706055,26.348609924316406,48.81999969482422,36.84000015258789,111.66000366210938
2020-01-10,30.270000457763672,53.36000061035156,25.867767333984375,47.849998474121094,36.34000015258789,111.27999877929688
2020-01-13,30.329999923706055,55.29999923706055,26.145755767822266,48.0,36.70000076293945,113.08000183105469
2020-01-14,30.0,55.63999938964844,26.11570167541504,48.20000076293945,36.54999923706055,113.31999969482422
2020-01-15,29.549999237060547,55.459999084472656,25.657400131225586,48.209999084472656,36.470001220703125,112.18000030517578
2020-01-16,29.520000457763672,55.16999816894531,26.025543212890625,49.150001525878906,35.869998931884766,112.3499984741211
2020-01-17,29.850000381469727,57.0,26.634109497070312,49.4900016784668,35.75,114.0999984741211
2020-01-20,30.0,57.36000061035156,26.11570167541504,49.599998474121094,36.04999923706055,114.41000366210938
2020-01-21,29.6200008392334,56.029998779296875,25.244176864624023,49.20000076293945,35.43000030517578,112.6500015258789
2020-01-22,29.290000915527344,56.29999923706055,25.334335327148438,49.83000183105469,35.599998474121094,114.0999984741211
2020-01-23,29.649999618530273,55.5,26.00300407409668,51.7400016784668,34.84000015258789,115.20999908447266
2020-01-24,29.299999237060547,53.79999923706055,25.807662963867188,51.40999984741211,33.83000183105469,114.0
2020-01-27,28.030000686645508,50.5099983215332,25.21412467956543,51.439998626708984,31.780000686645508,110.29000091552734
2020-01-28,28.799999237060547,51.20000076293945,25.244176864624023,52.900001525878906,31.360000610351562,112.30000305175781
2020-01-29,28.850000381469727,50.75,24.883546829223633,54.25,31.100000381469727,110.87999725341797
2020-01-30,28.940000534057617,51.5,25.131479263305664,53.83000183105469,30.600000381469727,111.19000244140625
